"GC EI Compounds ID"	"New CD Table ID"	"New CD Table WorkflowID"
1	1	239
2	2	239
3	3	239
4	4	239
5	5	239
6	6	239
7	7	239
8	8	239
9	9	239
10	10	239
11	11	239
12	12	239
13	13	239
14	14	239
15	15	239
16	16	239
17	17	239
18	18	239
19	19	239
20	20	239
21	21	239
22	22	239
23	23	239
24	24	239
25	25	239
26	26	239
27	27	239
28	28	239
29	29	239
30	30	239
31	31	239
32	32	239
33	33	239
34	34	239
35	35	239
36	36	239
37	37	239
38	38	239
39	39	239
40	40	239
41	41	239
42	42	239
43	43	239
44	44	239
45	45	239
46	46	239
47	47	239
48	48	239
49	49	239
50	50	239
51	51	239
52	52	239
53	53	239
54	54	239
55	55	239
56	56	239
57	57	239
58	58	239
59	59	239
60	60	239
61	61	239
62	62	239
63	63	239
64	64	239
65	65	239
66	66	239
67	67	239
68	68	239
69	69	239
70	70	239
71	71	239
72	72	239
73	73	239
74	74	239
75	75	239
76	76	239
77	77	239
78	78	239
79	79	239
80	80	239
81	81	239
82	82	239
83	83	239
84	84	239
85	85	239
86	86	239
87	87	239
88	88	239
89	89	239
90	90	239
91	91	239
92	92	239
93	93	239
94	94	239
95	95	239
96	96	239
97	97	239
98	98	239
99	99	239
100	100	239
101	101	239
102	102	239
103	103	239
104	104	239
105	105	239
106	106	239
107	107	239
108	108	239
109	109	239
110	110	239
111	111	239
112	112	239
113	113	239
114	114	239
115	115	239
116	116	239
117	117	239
118	118	239
119	119	239
120	120	239
121	121	239
122	122	239
123	123	239
124	124	239
125	125	239
126	126	239
127	127	239
128	128	239
129	129	239
130	130	239
131	131	239
132	132	239
133	133	239
134	134	239
135	135	239
136	136	239
137	137	239
138	138	239
139	139	239
140	140	239
141	141	239
142	142	239
143	143	239
144	144	239
145	145	239
146	146	239
147	147	239
148	148	239
149	149	239
150	150	239
151	151	239
152	152	239
153	153	239
154	154	239
155	155	239
156	156	239
157	157	239
158	158	239
159	159	239
160	160	239
161	161	239
162	162	239
163	163	239
164	164	239
165	165	239
166	166	239
167	167	239
168	168	239
169	169	239
170	170	239
171	171	239
172	172	239
173	173	239
174	174	239
175	175	239
176	176	239
177	177	239
178	178	239
