"GC EI Compounds ID"	"Structure"	"TIC Sum"	"Name"	"RT in min"	"Reference mz"	"Avg TIC"	"NIST Lib Hit Formula"	"NIST Theo Mol Mass"	"NIST Observed Mol Mass"	"Area Max"	"MS Depth"	"Total Score"	"HRF Score"	"RHRF Score"	"SI"	"RSI"	"Calculated RI"	"RI Delta"	"MS2"	"Calc MW"	"Checked"	"Tags"	"Area Genuine_1raw F1"	"Area Genuine_2raw F2"	"Area Genuine_3raw F3"	"Area Suspect_1raw F4"	"Area Suspect_2raw F5"	"Area Suspect_3raw F6"	"Gap Status Genuine_1raw F1"	"Gap Status Genuine_2raw F2"	"Gap Status Genuine_3raw F3"	"Gap Status Suspect_1raw F4"	"Gap Status Suspect_2raw F5"	"Gap Status Suspect_3raw F6"	"Gap Fill Status Genuine_1raw F1"	"Gap Fill Status Genuine_2raw F2"	"Gap Fill Status Genuine_3raw F3"	"Gap Fill Status Suspect_1raw F4"	"Gap Fill Status Suspect_2raw F5"	"Gap Fill Status Suspect_3raw F6"
"1"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:03:26 2024 (hash=697ba6f0); 22 23  0  0  0  0  0  0  0  0  0;    0.6888    0.8104    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0000    0.4052    0.0000 C   0  0  0     0  0  0  0  0  0;    4.2141    0.4052    0.0000 C   0  0  0     0  0  0  0  0  0;    3.5252    0.8104    0.0000 C   0  0  0     0  0  0  0  0  0;   -4.2141   -0.4052    0.0000 C   0  0  0     0  0  0  0  0  0;   -4.2141    0.4052    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6888    1.6208    0.0000 C   0  0  0     0  0  0  0  0  0;    1.4182    0.4052    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.6888    0.8104    0.0000 C   0  0  0     0  0  0  0  0  0;    0.0000    2.0260    0.0000 C   0  0  0     0  0  0  0  0  0;    2.1070    0.8104    0.0000 O   0  0  0     0  2  0  0  0  0;    1.4182   -0.4052    0.0000 O   0  0  0     0  2  0  0  0  0;   -0.6888    1.6208    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.4182    0.4052    0.0000 C   0  0  0     0  0  0  0  0  0;    2.7959    0.4052    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.1070    0.8104    0.0000 N   0  0  0     0  3  0  0  0  0;   -1.4182   -0.4052    0.0000 O   0  0  0     0  2  0  0  0  0;   -2.7959    0.4052    0.0000 C   0  0  0     0  0  0  0  0  0;   -3.5252   -0.8104    0.0000 C   0  0  0     0  0  0  0  0  0;   -3.5252    0.8104    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.7959   -0.4052    0.0000 C   0  0  0     0  0  0  0  0  0;   -3.5252    1.6613    0.0000 Cl  0  0  0     0  1  0  0  0  0;  1  2  2  0  0  0  0;  1  7  1  0  0  0  0;  1  8  1  0  0  0  0;  2  9  1  0  0  0  0;  3  4  1  0  0  0  0;  4 15  1  0  0  0  0;  5  6  2  0  0  0  0;  5 19  1  0  0  0  0;  6 20  1  0  0  0  0;  7 10  2  0  0  0  0;  8 11  1  0  0  0  0;  8 12  2  0  0  0  0;  9 13  2  0  0  0  0;  9 14  1  0  0  0  0; 10 13  1  0  0  0  0; 11 15  1  0  0  0  0; 14 16  1  0  0  0  0; 14 17  2  0  0  0  0; 16 18  1  0  0  0  0; 18 21  1  0  0  0  0; 18 20  2  0  0  0  0; 19 21  2  0  0  0  0; 20 22  1  0  0  0  0;$$$$"	"58076877"	"Isophthalic acid, monoamide, N-(2-chlorophenyl)-, propyl ester"	"2.019"	"282.05057"	"9679480"	"C17 H16 Cl N O3"	"317.08132"	""	"23674668"	"1"	"72.1"	"55.0"	"58.4"	"502"	"538"	""	""	"NoMSn"	"191.00154"	"False"	""	"16996438"	" 12682074"	" 13106849"	" 23674668"	" 12064829"	" 13141465"	"No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"1"	" 128"	" 128"	" 128"	" 128"	" 128"
"2"	""	"65558685"	"Peak@2.019"	"2.019"	"162.96968"	"10926448"	""	""	""	"13232219"	"1"	""	""	""	""	""	""	""	"NoMSn"	"226.04246"	"False"	""	"7904876"	" 6316709"	" 4887325"	" 13232219"	" 4982417"	" 3854605"	"Full gap"	" Full gap"	" Full gap"	" Full gap"	" No gap"	" Full gap"	"128"	" 128"	" 128"	" 128"	" 1"	" 128"
"3"	""	"18533173"	"Peak@2.019"	"2.019"	"210.99083"	"3088862"	""	""	""	"2550724"	"1"	""	""	""	""	""	""	""	"NoMSn"	"269.97812"	"False"	""	"1890592"	" 819686"	" 852993"	" 2550724"	" 1079221"	" 1669466"	"Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 1"	" 128"	" 128"	" 128"	" 128"
"4"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:03:31 2024 (hash=a92b7ce0); 21 20  0  0  0  0  0  0  0  0  0;   -3.4130    1.3408    0.0000 C   0  0  0     0  0  0  0  0  0;   -3.0067    2.0316    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.1941    2.0316    0.0000 C   0  0  0     0  0  0  0  0  0;   -3.4130    2.7223    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.7878    1.3408    0.0000 O   0  0  0     0  2  0  0  0  0;   -0.9752    1.3408    0.0000 Si  0  0  0     0  4  0  0  0  0;   -0.9752    0.5282    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.9752    2.1535    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.1219    1.3408    0.0000 O   0  0  0     0  2  0  0  0  0;    0.2844    0.6095    0.0000 Si  0  0  0     0  4  0  0  0  0;   -0.4063    0.2032    0.0000 C   0  0  0     0  0  0  0  0  0;    0.9752    1.0158    0.0000 C   0  0  0     0  0  0  0  0  0;    0.6907   -0.0813    0.0000 O   0  0  0     0  2  0  0  0  0;    1.5034   -0.0813    0.0000 Si  0  0  0     0  4  0  0  0  0;    1.5034    0.7314    0.0000 C   0  0  0     0  0  0  0  0  0;    1.5034   -0.8939    0.0000 C   0  0  0     0  0  0  0  0  0;    2.3160   -0.0813    0.0000 O   0  0  0     0  2  0  0  0  0;    2.7223   -0.7720    0.0000 Si  0  0  0     0  4  0  0  0  0;    2.0316   -1.1783    0.0000 C   0  0  0     0  0  0  0  0  0;    3.4130   -0.3657    0.0000 C   0  0  0     0  0  0  0  0  0;    3.1286   -1.5034    0.0000 O   0  0  0     0  2  0  0  0  0;  1  2  1  0  0  0  0;  2  3  1  0  0  0  0;  2  4  1  0  0  0  0;  3  5  1  0  0  0  0;  5  6  1  0  0  0  0;  6  7  1  0  0  0  0;  6  8  1  0  0  0  0;  6  9  1  0  0  0  0;  9 10  1  0  0  0  0; 10 11  1  0  0  0  0; 10 12  1  0  0  0  0; 10 13  1  0  0  0  0; 13 14  1  0  0  0  0; 14 15  1  0  0  0  0; 14 16  1  0  0  0  0; 14 17  1  0  0  0  0; 17 18  1  0  0  0  0; 18 19  1  0  0  0  0; 18 20  1  0  0  0  0; 18 21  1  0  0  0  0;$$$$"	"290458436"	"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol"	"2.020"	"283.04791"	"48409739"	"C12 H34 O5 Si4"	"370.14778"	""	"12829032"	"1"	"89.3"	"95.4"	"97.0"	"558"	"580"	""	""	"NoMSn"	"345.01251"	"False"	""	"9598090"	" 8199639"	" 6333526"	" 12829032"	" 7767710"	" 8186216"	"No gap"	" No gap"	" No gap"	" Full gap"	" No gap"	" No gap"	"1"	" 1"	" 1"	" 128"	" 1"	" 1"
"5"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:06:24 2024 (hash=a1c49f12); 26 26  0  0  0  0  0  0  0  0  0;    1.6996    1.7805    0.0000 S   0  0  0     0  6  0  0  0  0;    2.5089    1.7805    0.0000 O   0  0  0     0  2  0  0  0  0;    0.8903    1.7805    0.0000 O   0  0  0     0  2  0  0  0  0;    1.6996    2.5898    0.0000 N   0  0  0     0  3  0  0  0  0;    1.6996    0.9712    0.0000 C   0  0  0     0  0  0  0  0  0;    2.3875    2.9945    0.0000 C   0  0  0     0  0  0  0  0  0;    0.9712    2.9945    0.0000 Si  0  0  0     0  4  0  0  0  0;    1.0117    0.5665    0.0000 C   0  0  0     0  0  0  0  0  0;    0.2833    0.9712    0.0000 C   0  0  0     0  0  0  0  0  0;    1.0117   -0.2428    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.4047    0.5665    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.4047   -0.2428    0.0000 C   0  0  0     0  0  0  0  0  0;    0.2833   -0.6475    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.0926   -0.6070    0.0000 N   0  0  0     0  3  0  0  0  0;   -1.0926   -1.4163    0.0000 N   0  0  0     0  3  0  0  0  0;   -1.8210   -0.2023    0.0000 Si  0  0  0     0  4  0  0  0  0;   -1.8210   -1.8210    0.0000 Si  0  0  0     0  4  0  0  0  0;   -2.5089   -2.2256    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.2256   -1.1330    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.4163   -2.5494    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.5089    0.2023    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.3758    0.4856    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.2256   -0.9307    0.0000 C   0  0  0     0  0  0  0  0  0;    0.2833    3.3991    0.0000 C   0  0  0     0  0  0  0  0  0;    1.3758    3.7229    0.0000 C   0  0  0     0  0  0  0  0  0;    0.5665    2.3066    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  2  0  0  0  0;  1  3  2  0  0  0  0;  1  4  1  0  0  0  0;  1  5  1  0  0  0  0;  4  6  1  0  0  0  0;  4  7  1  0  0  0  0;  5  8  1  0  0  0  0;  7 24  1  0  0  0  0;  7 25  1  0  0  0  0;  7 26  1  0  0  0  0;  8  9  2  0  0  0  0;  8 10  1  0  0  0  0;  9 11  1  0  0  0  0; 10 13  2  0  0  0  0; 11 12  2  0  0  0  0; 12 13  1  0  0  0  0; 12 14  1  0  0  0  0; 14 15  1  0  0  0  0; 14 16  1  0  0  0  0; 15 17  1  0  0  0  0; 16 21  1  0  0  0  0; 16 22  1  0  0  0  0; 16 23  1  0  0  0  0; 17 18  1  0  0  0  0; 17 19  1  0  0  0  0; 17 20  1  0  0  0  0;$$$$"	"68814202"	"4-Hydrazino-N-methylbenzenemethanesulfonamide, 3TMS (isomer 2)"	"2.022"	"248.98868"	"11469034"	"C17 H37 N3 O2 S Si3"	"431.19088"	""	"20597670"	"1"	"90.4"	"98.4"	"98.7"	"554"	"755"	""	""	"NoMSn"	"359.02914"	"False"	""	"13363645"	" 9563789"	" 9280751"	" 20597670"	" 9799763"	" 11178997"	"Full gap"	" Full gap"	" Full gap"	" No gap"	" Full gap"	" Full gap"	"128"	" 128"	" 128"	" 1"	" 128"	" 128"
"6"	""	"20705001"	"Peak@2.024"	"2.024"	"234.97285"	"3450834"	""	""	""	"1952325"	"1"	""	""	""	""	""	""	""	"NoMSn"	"325.02338"	"False"	""	"1084408"	" 1110497"	" 605846"	" 1952325"	" 961265"	" 955760"	"Full gap"	" Full gap"	" Full gap"	" Full gap"	" No gap"	" Full gap"	"128"	" 128"	" 128"	" 128"	" 1"	" 128"
"7"	""	"17633918"	"Peak@2.024"	"2.024"	"310.97110"	"2938986"	""	""	""	"1842095"	"1"	""	""	""	""	""	""	""	"NoMSn"	"325.02325"	"False"	""	"1842095"	" 1271119"	" 778116"	" 1553302"	" 738226"	" 971668"	"No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"1"	" 128"	" 128"	" 128"	" 128"	" 128"
"8"	""	"21716465"	"Peak@2.026"	"2.026"	"310.97119"	"3619411"	""	""	""	"1842095"	"1"	""	""	""	""	""	""	""	"NoMSn"	"341.05460"	"False"	""	"1842095"	" 1271119"	" 778116"	" 1553302"	" 738226"	" 971668"	"Full gap"	" No gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	"128"	" 1"	" 128"	" 128"	" 128"	" 128"
"9"	""	"19732187"	"Peak@2.027"	"2.027"	"267.03528"	"3288698"	""	""	""	"17419478"	"1"	""	""	""	""	""	""	""	"NoMSn"	"386.96951"	"False"	""	"12325832"	" 7281654"	" 7463083"	" 17419478"	" 7732799"	" 4302221"	"Full gap"	" Full gap"	" Full gap"	" Full gap"	" Full gap"	" No gap"	"128"	" 128"	" 128"	" 128"	" 128"	" 1"
"10"	"No Name;  -NISTMS-12099911132D 1   1.0         0.0          ;Oct 15 22:06:40 2024 (hash=5b916b42); 21 23  0  0  0  0  0  0  0  0  0;   -0.3652   -0.9738    0.0000 N   0  0  0     0  5  0  0  0  0;    0.3652   -1.3795    0.0000 O   0  0  0     0  2  0  0  0  0;   -1.0549   -1.4201    0.0000 O   0  0  0     0  2  0  0  0  0;   -0.3652   -0.2029    0.0000 C   0  0  0     0  0  0  0  0  0;    0.3652    0.2029    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.0549    0.2029    0.0000 C   0  0  0     0  0  0  0  0  0;    0.3652    1.0143    0.0000 C   0  0  0     0  0  0  0  0  0;    1.0549   -0.2029    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.7446   -0.2029    0.0000 N   0  0  0     0  3  0  0  0  0;   -1.0549    1.0143    0.0000 C   0  0  0     0  0  0  0  0  0;    1.0549    1.4201    0.0000 C   0  0  0     0  0  0  0  0  0;   -0.3652    1.4201    0.0000 C   0  0  0     0  0  0  0  0  0;    1.7446    0.2029    0.0000 C   0  0  0     0  0  0  0  0  0;   -1.7446    1.4201    0.0000 N   0  0  0     0  5  0  0  0  0;    1.7446    1.0143    0.0000 C   0  0  0     0  0  0  0  0  0;    1.0549    2.2315    0.0000 C   0  0  0     0  0  0  0  0  0;   -2.4750    1.0143    0.0000 O   0  0  0     0  2  0  0  0  0;   -1.7446    2.2315    0.0000 O   0  0  0     0  2  0  0  0  0;    2.4750    1.4201    0.0000 C   0  0  0     0  0  0  0  0  0;    1.7446    2.6373    0.0000 C   0  0  0     0  0  0  0  0  0;    2.4750    2.2315    0.0000 C   0  0  0     0  0  0  0  0  0;  1  2  2  0  0  0  0;  1  3  2  0  0  0  0;  1  4  1  0  0  0  0;  4  5  2  0  0  0  0;  4  6  1  0  0  0  0;  5  7  1  0  0  0  0;  5  8  1  0  0  0  0;  6  9  1  0  0  0  0;  6 10  2  0  0  0  0;  7 11  1  0  0  0  0;  7 12  2  0  0  0  0;  8 13  1  0  0  0  0; 10 14  1  0  0  0  0; 10 12  1  0  0  0  0; 11 15  2  0  0  0  0; 11 16  1  0  0  0  0; 13 15  1  0  0  0  0; 14 17  2  0  0  0  0; 14 18  2  0  0  0  0; 15 19  1  0  0  0  0; 16 20  2  0  0  0  0; 19 21  2  0  0  0  0; 20 21  1  0  0  0  0;$$$$"	"5453065"	"2-Phenanthrylamine, 9,10-dihydro-1,3-dinitro-"	"2.027"	"192.00444"	"908844"	"C14 H11 N3 O4"	"285.07441"	""	"695605"	"1"	"73.8"	"57.9"	"67.5"	"531"	"663"	""	""	"NoMSn"	"284.03018"	"False"	""	"695605"	" 309739"	" 270742"	" 371605"	" 410162"	" 426068"	"Full gap"	" Full gap"	" Full gap"	" No gap"	" Full gap"	" Full gap"	"128"	" 128"	" 128"	" 1"	" 128"	" 128"
