"GC EI Compounds ID"	"Name"	"Area Mean (Genuine)"	"Area Mean (Suspect)"	"New CD Table ID"	"New CD Table WorkflowID"
1	"Isophthalic acid, monoamide, N-(2-chlorophenyl)-, propyl ester"	14261787	16293654	1	239
2	"Peak@2.019"	6369636.66666667	7356413.66666667	2	239
3	"Peak@2.019"	1187757	1766470.33333333	3	239
4	"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol"	8043751.66666667	9594319.33333333	4	239
5	"4-Hydrazino-N-methylbenzenemethanesulfonamide, 3TMS (isomer 2)"	10736061.6666667	13858810	5	239
6	"Peak@2.024"	933583.666666667	1289783.33333333	6	239
7	"Peak@2.024"	1297110	1087732	7	239
8	"Peak@2.026"	1297110	1087732	8	239
9	"Peak@2.027"	9023523	9818166	9	239
10	"2-Phenanthrylamine, 9,10-dihydro-1,3-dinitro-"	425362	402611.666666667	10	239
11	"N-Hydroxy-12-azadispiro(4,1,4,2)tridec-8-ene-6,13-dione"	57976	75549.6666666667	11	239
12	"Silanol, trimethyl-"	137784.333333333	106921.666666667	12	239
13	"(((Ethylsulfanyl)methyl)sulfinyl)ethane"	344811	354853	13	239
14	"Silanol, trimethyl-"	269388.666666667	343455.333333333	14	239
15	"Ethanol, 2-(trimethylsilyl)-"	489925.666666667	380641	15	239
16	"Ethanamine, 2,2',2''-[1,2,3-benzenetriyltris(oxy)]tris[N,N-diethyl-"	46522.6666666667	67768	16	239
17	"1-(3,5-Anhydro-2-deoxypentofuranosyl)-5-methyl-2,4(1H,3H)-pyrimidinedione, TBDMS derivative"	10565	19553	17	239
18	"Peak@2.574"	63615	41797.6666666667	18	239
19	"4-Fluoro-2-trifluoromethylbenzoic acid, 4-isopropylphenyl ester"	156673	405908	19	239
20	"Acetic acid, methoxy-, anhydride"	30443.3333333333	271422	20	239
21	"Acetic acid, methoxy-, anhydride"	192621.333333333	150216.666666667	21	239
22	"Peak@2.759"	206527.666666667	363725.666666667	22	239
23	"Amylene hydrate"	718979.333333333	1236618.66666667	23	239
24	"Silanediol, dimethyl-"	56391877.3333333	62651394	24	239
25	"Propanoic acid"	270973	645741.666666667	25	239
26	"1,3-Dioxolane, 2-butyl-"	16862.3333333333	54814	26	239
27	"Butanoic acid, 2-methyl-, methyl ester"	42472503.6666667	284683.666666667	27	239
28	"Pentane, 3-ethyl-"	919550	577138	28	239
29	"1,1,3,3-Tetramethyl-1,3-bis[(2Z)-pent-2-en-1-yloxy]disiloxane"	1664760.66666667	1220686.66666667	29	239
30	"3-Furaldehyde"	388485.666666667	5427184	30	239
31	"Peak@6.870"	2880371.33333333	3492322.66666667	31	239
32	"1,1,3,3,5,5-Hexamethyl-1,5-bis(2-methylpropoxy)trisiloxane"	42837274	45742519	32	239
33	"Peak@6.879"	3176487	3547450	33	239
34	"Methyl 4-tert-butyl-thiobenzoate"	1091490.66666667	1236057.33333333	34	239
35	"Peak@6.883"	1621762	1821556.33333333	35	239
36	"1,3-Benzenediol, o-cyclopropanecarbonyl-o'-(3-methylbut-2-enoyl)-"	NA	328427.666666667	36	239
37	"6-Methyloctyl acetate"	1137675	272567.333333333	37	239
38	"Pentanoic acid, 2-methyl-"	2580577	1379433.33333333	38	239
39	"Cyclopentene, 3-methyl-"	14001571.3333333	6548957.33333333	39	239
40	"3-Undecene, 5-methyl-"	8593811.66666667	6010637	40	239
41	"9H-Fluoren-9-one, 3-nitro-"	18926.6666666667	15575.6666666667	41	239
42	"4-(2-Isonicotinoylhydrazino)-4-oxobutanoic acid"	119746	155533.666666667	42	239
43	"Propanoic acid, 4-hexen-1-yl ester"	522987.666666667	132498	43	239
44	"Ethylbenzene"	10948100.6666667	13695693.3333333	44	239
45	"4-(2-Isonicotinoylhydrazino)-4-oxobutanoic acid"	222482.333333333	280264.333333333	45	239
46	"2-(Furan-2-yl)-5-[(furan-2-ylmethyl)amino]-1,3-oxazole-4-carbonitrile, N-trifluoroacetyl"	2361174.33333333	3536967.66666667	46	239
47	"1,1,3,3-Tetramethyl-1,3-bis(3,3,3-trifluoropropyl)disiloxane"	42805838.3333333	43224170	47	239
48	"Ethanone, 1-(2-furanyl)-"	35025.3333333333	645715.666666667	48	239
49	"1-Hydroxycyclohexanecarboxylic acid"	NA	5645415	49	239
50	"2(5H)-Furanone, 5,5-dimethyl-"	278104.333333333	2418359	50	239
51	"3-Hexanone, 6-methoxy-2-methyl-"	382174.333333333	314170	51	239
52	"2-Methoxyethyl pentanoate"	359582.333333333	376960	52	239
53	"Peak@8.805"	5903330.33333333	17950.3333333333	53	239
54	"Peak@8.805"	NA	61063	54	239
55	"1-(6-Methyl-3-pyridinyl)-2-[4-(methylsulfonyl)phenyl]ethanone"	6660354.33333333	NA	55	239
56	"Bicyclo[3.1.0]hex-2-ene, 2-methyl-5-(1-methylethyl)-"	5206491595	32714444	56	239
57	"Ethanone, 2-(formyloxy)-1-phenyl-"	32574169.3333333	31013909	57	239
58	"1-Triazene, 3,3-dimethyl-1-phenyl-"	35767374.6666667	668686.666666667	58	239
59	"Peak@8.962"	3174756.66666667	73321.3333333333	59	239
60	"Peak@8.962"	3299383	53117.6666666667	60	239
61	"4-(1H-Pyrazol-1-yl)butanoic acid"	3299383	53117.6666666667	61	239
62	"α-Pinene"	1716170138.66667	33749911	62	239
63	"Pyrazine, (1-methylethenyl)-"	1410926.66666667	19162.6666666667	63	239
64	"Spiro[2,4]hepta-4,6-diene"	530086.333333333	166849.333333333	64	239
65	"Benzylcyclopentane"	NA	NA	65	239
66	"Difractaic acid, 2TMS derivative"	11577746	12333729.6666667	66	239
67	"Propanal ethyl isopentyl acetal"	4523288.66666667	4796243	67	239
68	"Camphene"	124448952.666667	8284082.66666667	68	239
69	"2-Furancarboxylic acid, cyclohexyl ester"	8290899.66666667	7657305.33333333	69	239
70	"Hexane, 1-(hexyloxy)-4-methyl-"	2029525.33333333	2434849.33333333	70	239
71	"1-Propyl-1-cyclopentanol"	9216474.66666667	46797556.3333333	71	239
72	"Peak@9.481"	142228	735989.333333333	72	239
73	"2-Butene, 1-methoxy-, (Z)-"	977655	4055719.66666667	73	239
74	"Bis(2-methylallyl) carbonate"	593032.666666667	852446.333333333	74	239
75	"Oxalic acid, 2-methylphenyl pentadecyl ester"	593032.666666667	852446.333333333	75	239
76	"2-Butene, 1-chloro-4-ethoxy-"	5819358.33333333	1355204.33333333	76	239
77	"Cyclobutane, 1,3-butadienyl-, (E)-"	4212144	382854.333333333	77	239
78	"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-"	131789248	11130327	78	239
79	"Peak@9.598"	207700	NA	79	239
80	"1H-Pyrrole, 1-(2-furanylmethyl)-"	108833.666666667	59008.6666666667	80	239
81	"2,4-Pentadienoic acid, 1-cyclopenten-3-on-1-yl ester"	192592	141676	81	239
82	"Peak@9.609"	192592	141676	82	239
83	"1-(2-Fluorobenzyl)-3-piperidinamine, N-pentafluoropropionyl-"	127004.333333333	249078	83	239
84	"Benzenesulfonamide, 4-amino-N-(4-methoxyphenyl)-"	867823	51641.3333333333	84	239
85	"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-"	401531483.666667	24615199	85	239
